name,motto,description,logo,token,dex,privacy,side,language,contract language,consensus,blocktime,atomic swap,launch,Tx cost,Market Cap,Wallets,url,whitepaper,governance,turing,statechannels,type,
Stratis,,,stratis.png,TRUE,TRUE,FALSE,TRUE,C# .Net,"CSharp, DotNET",PoS,,TRUE,,,,,https://stratisplatform.com/,https://academy.stratisplatform.com/SmartContracts/smart-contracts-introduction.html,,,,Public,
Wanchain,Rebuilding Finance,"Bitcoin was the first natively digital asset, tens of thousands have followed. The digital economy is expanding exponentially and will soon become 'the economy' These digital assets now operate in the domain of 0s, 1s, Moore's law, and exponential scale. The impacts on the financial services industry will be profound. Historical example: digitization of photographs
Wanchain’s privacy is achieved through the use of ring signatures, which provide complete anonymity to the signer of a transaction while also providing the receiver with the ability to verify the sender’s signature. Additionally, Wanchain offers the option for One Time Addresses (OTA) to provide further anonymity optionality.",wanchain.png,TRUE,FALSE,TRUE,TRUE,"Go,C++",Solidity,PoW,,FALSE,,,,,https://wanchain.org/,https://wanchain.org/files/Wanchain-Whitepaper-EN-version.pdf,,TRUE,,Public,
Nxt,,"Nxt is an advanced open source blockchain platform that builds on the functionality of the first wave of pioneering cryptocurrencies like Bitcoin. The Nxt platform includes many core-level features, such as a Decentralized Asset Exchange, Marketplace, and Voting system, all in additional to the NXT digital currency itself. Nxt is easy-to-use, permissionless and gives its users complete freedom in many ways. For example, using the NXT currency as a payment system cannot be restricted, creating a marketplace listing cannot be denied, and, for developers, neither is creating advanced blockchain-based applications through the Nxt Application Program Interface (API). Nxt smart contracts are not Turing complete, but have used a Turing complete scripting layer to create template smart contracts. Users would select the most appropriate template and adjust the parameters to create their own smart contracts. Nxt believes the smart contracts created from these templates should cover most business applications; be easy to code, and ensure safety in the system.",nxt.png,TRUE,TRUE,TRUE,FALSE,Java,Java,PoS,,TRUE,,,,,https://nxtplatform.org/,https://nxtforum.org/smart-contracts/,,FALSE,,Public,
Quorum,Enterprise-ready distributed ledger and smart contract platform,"Quorum™ is an enterprise-focused version of Ethereum.

Quorum is ideal for any application requiring high speed and high throughput processing of private transactions within a permissioned group of known participants. Quorum addresses specific challenges to blockchain technology adoption within the financial industry, and beyond.",quorum.jpg,,,,,,,,,,,,,,https://www.jpmorgan.com/global/Quorum,,,TRUE,,Public,
Aeternity,Scalable blockchain platform,"Hello IoT, IoV, FinTech, Video Gaming, The Unbanked, Trustless Exchanges, and instant Micropayments!

We believe in relentless evolution of systems and societies. æternity will push the boundaries of innovation and make blockchain technology ready for mass adoption.

Why is æternity so innovative?

State Channels
Smart contracts exist only inside off chain state channels. Just in case of disagreement the smart contract code gets enforced by the æternity blockchain.
Decentralized Oracles
An oracle machine connects public real world data with smart contracts. Oracles are categorically more powerful than Turing-complete computational models.
Consensus
Consensus is achieved via a novel hybrid Proof-of-Work (PoW) and Proof-of-Stake (PoS) algorithm.
Unique Governance
æternity implements a form of futarchy, where miners vote and value-holders bet to make decisions together.
Privacy
For many business applications it's crucial to have their transactions not recorded in public. Smart contracts touch the blockchain only in case of disagreement, acting like a self-arbitrating crypto court.
Security
State-of-the-art cryptographic datastructures and unparalleled decentralization provide efficiency and eliminate every single-point-of-failure.
Low cost
Via leveraging state channels the default way to run smart contracts, æternity becomes the most efficient Turing-complete blockchain and thus enables new forms of monetization via it's low cost transactions.",aeternity.svg,,,,,,"Sophia,Varna,Solidity","PoS,PoW",,2017,,,,,https://aeternity.com,https://github.com/aeternity/protocol,DAO,TRUE,TRUE,"Public,Private",
Zen,,"Create financial instruments, applications, and contractual obligations - secured by a trustless and decentralized network. Zen Protocol is a new type of blockchain, written from scratch in F#, with a contracting language in F*. The design integrates the efficiencies of Bitcoin and the UTXO model, with the programmability of Ethereum and the EVM model. Zen Protocol is focused on creating a platform that will enable people to secure their assets, without needing trusted custodians.",zen.png,,,,,,FSharp,,,,,,,,https://www.zenprotocol.com/,https://docs.zenprotocol.com/,,,,Public,
Counterparty,"Counterparty extends Bitcoin
in new and powerful ways.","The Counterparty protocol is open source and extensively tested. Besides allowing users to create and trade any kind of digital token, Counterparty enables anyone to write specific digital agreements, or programs known as Smart Contracts, and execute them on the Bitcoin blockchain. Smart Contracts are a revolutionary technology which opens the door to endless possibilities. By using the Bitcoin’s decentralized ledger network and Counterparty’s built-in scripting language, real-world scenarios can now be transformed into code and executed automatically with no need for an intermediary.",counterparty.jpg,,,,,,"Solidity,Serpent",,,,,,,,https://counterparty.io,https://counterparty.io/platform/,,,,Public,
Rootstock (RSK),It's time to run your dApp on RSK!,"
RSK
Initial release	3 January 2018
Written in	Java
Operating system	Clients available for Linux, Windows, macOS, POSIX
Platform	x86, AMD64, ARM
Type	Decentralized computing, Blockchain, Cryptocurrency
License	LGPLv3[1]
Website	www.rsk.co
RootStock (now RSK) is a smart-contract peer-to-peer platform built on top of the Bitcoin blockchain. Its goal is to add value and functionality to the core Bitcoin network by the implementation of sophisticated smart contracts as a sidechain.",rootstock.webp,,,,TRUE,Java,Solidity,Ghost,20,,2015.11,,,,,,,,,Public,
RChain,"Reimagining the World, Many Blocks at a Time","RChain is a complete blockchain platform for distributed applications. Intelligent, concurrent execution throughout the network unlocks blockchain's potential for transactions of every type and scale. Designed for maximum efficiency at minimal computational and environmental cost, RChain provides the foundation and utility for global coordination.",RChain.svg,,,,,,RHOLang,,,,,,,,,,,,,Public,
Qtum,,"tum (QTUM) is a project developed by the Singapure-based QTUM Foundation, with Patrick Dai being its CEO. It's a decentralized platform and currency that functions on a unique Proof of Stake algorithm. It was created with the purpose of providing a platform for the development of decentralized applications, Qtum claims to be combining a version of bitcoin core with the Ethereum Virtual Machine. The project's team claims that the backwards compatibility Qtum provides between Ethereum contracts and bitcoin gateways is to be maintained",qtum.svg,TRUE,,TRUE,,,Solidity,,,,2016,,,,https://qtum.org/en,,"Foundation,DAO",TRUE,,Public,
Nem,,"NEM is the world's first Smart Asset blockchain. Built from the ground up for enterprise-grade performance, NEM's blockchain technology delivers a world class platform for management of almost any kind of asset: currencies, supply chains, notarizations, ownership records and more. NEM’S power is exposed through a straightforward and secure developer interface so that you can deploy your blockchain solution in record time. Whether you are building the next best mobile app or bringing blockchain into your existing business infrastructure, NEM makes blockchain work for you.",nem.svg,TRUE,,,,,JSON,PoI,,,,,,,https://nem.io/,https://nem.io/NEM_techRef.pdf,Foundation,TRUE,,"Public,Private",
Stellar,"Stellar | Move Money Across Borders Quickly, Reliably, And For Fractions Of A Penny.","Stellar is an open-source, decentralized protocol for digital currency to fiat currency transfers which allows cross-border transactions between any pair of currencies. The Stellar protocol is supported by a nonprofit, the Stellar Development Foundation. The Stellar network has been used by companies such as IBM, KlickEx, Deloitte, Parkway Projects, Tempo, Wanxiang Labs and Stripe.",stellar.png,,,,,,"JavaScript,Java,Go,Ruby,Python,DotNET,CSharp,Scala",,5,,,,,,https://www.stellar.org/,,Foundation,,,Public,
HyperLedger Fabric,,"Hyperledger is an umbrella project of open source blockchains and related tools, started in December 2015 by the Linux Foundation, to support the collaborative development of blockchain-based distributed ledgers.",hyperledger.png,FALSE,,,,,"Golang,NodeJs",,,,,,,,https://www.hyperledger.org/,,Foundation,,,Private,
Corda,,"Corda is built on proven, familiar technologies. It is the blockchain for the world's 9 million Java developers. Corda uses enterprise technologies such as a relational databases and AMQP. Corda's architecture focuses on a lower total cost of ownership (TCO), greater resilience and easier deployments. ",corda.png,,,,,,"Java,Kotlin","Validity, Uniqueness",,,,,,,https://www.corda.net/,,Foundation,,,Private,
Neblio,,"A secure, distributed, platform built for enterprise applications and services.
Running on the Neblio blockchain network.",neblio.png,,,,,,"Cpp,Python,Go,Javascript,Ruby,DotNET,Java,NodeJs",PoS,,,,,,,https://nebl.io/,https://nebl.io/roadmap/,,,,Public,
Viacoin,,"Viacoin (VIA) is a decentralised, open-source cryptocurrency forked from Bitcoin in July 2014. The project's primary goal is to create a blockchain protocol, called ""ClearingHouse"", which would allow the building of fully decentralized exchanges and issuing of new currencies, as well as asset tracking, betting, digital voting, reputation management and going as far as allowing to form the basis of fully decentralized marketplaces. According to the project's management, these kind of services (or ""sidechains"") often face resistance from core Bitcoin developers when attempting to buil them on top of Bitcoin's own blockchain - hence the reason for launching the new cryptocoin. Viacoin's launch was accompanied by much attention in the media - especially because of the coin's explosive price growth (VIA reached market capitalisation of US$1 million in just a few days of trading), but also because the project was joined by Peter Todd, a well-known and experienced Bitcoin developer.",viacoin.svg,,,,,,Java,PoW,,,2014-07-17,,,,https://viacoin.org/,https://github.com/viacoin/documents/tree/master/whitepapers,,,,Public,
Tezos,,"Tezos is a generic and self-amending crypto-ledger which can instantiate any blockchain based ledger. The operations of a regular blockchain are implemented as a purely functional module abstracted into a shell responsible for network operations.

Bitcoin, Ethereum, Cryptonote, etc. can all be represented within Tezos by implementing the proper interface to the network layer. Most importantly, Tezos supports meta upgrades: the protocols can evolve by amending their own code. To achieve this, Tezos begins with a seed protocol defining a procedure for stakeholders to approve amendments to the protocol, including amendments to the voting procedure itself. This is not unlike philosopher Peter Suber’s Nomic, a game built around a fully introspective set of rules.

In addition, Tezos’s seed protocol is based on a pure proof-of-stake system and supports Turing complete smart contracts. Its proof-of-stake approach is novel, because the validator pool grows organically with the growth of the network. It has therefore been called ""liquid"" proof-of-stake by some. Tezos is implemented in OCaml, a powerful functional programming language offering speed, an unambiguous syntax and semantics, and an ecosystem making Tezos a good candidate for formal proofs of correctness.",tezos.svg,FALSE,FALSE,FALSE,FALSE,OCaml,Michelson,PoS,60,FALSE,,,,,https://tezos.com,https://tezos.com/static/papers/white_paper.pdf,DAO,TRUE,FALSE,Public,
Dfinity,,"Dfinity is a blockchain-based cloud computing project. Its aim is to develop a decentralized internet computer that will become the cloud 3.0. It is registered as a non-profit foundation in Zug, Switzerland, and operates research centers in Palo Alto, California and in Germany. DFINITY is based on a unique consensus algorithm called Threshold Relay, leveraging the properties of the BLS Threshold Signature scheme. DFINITY’s consensus mechanism has four layers. The first layer provides registered and Sybil-resistant client identities. On the second layer is a decentralized random beacon.On the third layer is a blockchain that is driven by the random beacon through a probabilistic mechanism for leader ranking. On the fourth layer is a decentralized notary that provides timestamping and publication guarantees, and is ultimately responsible for near-instant finality.

Regarding scaling-out, DFINITY use a combination of crypto technique and novel solutions such as Threshold Relay, Validation Towers, Validation Trees and USCIDs (Unique State Copy IDs) to scale out with miners. By applying those techniques and with an architecture that separates consensus, validation, and storage into separate layers, DFINITY can scale infinitely.",dfinity.jpg,,,,,,Solidity,ThresholdRelay,3–5,,,,,,https://dfinity.org/,https://medium.com/dfinity/dfinity-white-paper-our-consensus-algorithm-a11adc0a054c,DAO,TRUE,,Private,
Boscoin,,"BOScoin is a Self-Evolving Cryptocurrency Platform for Trust Contracts. They will provide a decidable and approachable framework for 
creating and executing contracts on the blockchain.
The “Congress Network” is aimed towards creating a more democratic and productive decision making process. 
And the incentive scheme and issuance plan is aimed towards creating value for the coin while deterring the centralization of power. 
The Modified Federated Byzantine Agreement algorithm will allow for low latency transactions while being more energy efficient.
BOScoin aims to overcome the technical and operational issues inherent in many cryptocurrencies.

BOScoin uses a modified Federated Byzantine Agreement(mFBA) which originally comes from the Federated Byzantine Agreement System(FBAS). In addition to FBAS, the BOScoin team applies a Proof of Stake feature for the maintenance of the whole system. Users can freeze coins in units of 10,000 BOS within a node, in return for forgoing liquidity, users will be issued new BOScoin based on the total number of frozen coins in the node. The Frozen coins in the node then act as both an economic incentive to operate a node as well as collateral for the security and integrity of the information held in the blockchain network.",boscoin.png,,,,,,Web Ontology Language,mFBA,,,,,,,https://boscoin.io,https://boscoin.io/overview-of-white-paper-2-0-part-1/,DAO,FALSE,,Public,
ByteBall,A cryptocurrency platform ready for real world adoption,"The design
There are no blocks in Byteball, and no block size issue.  Instead, every new transaction references one or more earlier ones (parents) by including and signing their hashes.  The links among transactions form a DAG (directed acyclic graph):
By including its parents, each new transaction also indirectly includes and confirms all parents of the parents, parents of the parents of the parents, and so on.  As more transactions are added after your transaction, the number of confirmations you receive grows like snowball, that’s why the name Byteball (our snowflakes are bytes of data). There is no PoW, no PoS, and no mining.  Instead, we have the DAG, which already establishes partial order between transactions, plus we add the main chain within the DAG:
The main chain (MC) allows to define total order between transactions: the transaction which gets included (directly or indirectly) earlier on the MC, is deemed earlier in the total order.  When there is a double-spend, the version of the transaction that comes earlier in the total order is deemed valid, all others are deemed void.
- Deterministic finality
- Assets and on-chain exchange
- Private untraceable payments
- Regulated assets
- Spending conditions (AKA smart contracts) in an easy to understand declarative language https://bitcointalk.org/index.php?topic=1617816.0
- Multisig: a special case of spending conditions
- On-chain oracles can post data (such as timestamps, exchange rates, weather, various events) directly to the database, then that data can be referenced from spending conditions
- Private end-to-end encrypted messaging: used to convey private payment data, communicate in multisig scenarios, and chat with a merchant’s bot.
- Attestation of real name, which is important for applications that require real-world identity, e.g. ICOs that require KYC.",byteball.png,TRUE,TRUE,TRUE,FALSE,Javascript,Javascript,DAG,,,,,,,https://byteball.org/,https://byteball.org/Byteball.pdf,Foundation,FALSE,,Private,
Polkadot,Polkadot is a heterogeneous multi‑chain technology,"Polkadot allows new designs of blockchains to communicate and pool their security while still allowing them to have entirely arbitrary state-transition functions.
This opens to the door to a network of blockchains, where private and consortium chains can be firewalled from open and public chains like Ethereum without losing the ability to communicate with them on their own terms, not unlike the intranet/internet synergy we see today.

At a high level, here are the problems we are attempting to solve:

1. Interoperability
Polkadot is designed to enable applications and smart contracts on one blockchain to seamlessly transact with data and assets on other chains.

2. Scalability
Polkadot gives the ability to run several parachains*, each processing multiple transactions in parallel, which allows networks to obtain infinite scalability.

3. Shared Security
With Polkadot, security is pooled within the network, which means that individual chains can leverage collective security without having to start from scratch to gain traction and trust.",polkadot.svg,,,,,,,,,,,,,,https://polkadot.network,,DAO],TRUE,,"Public,Private","https://github.com/paritytech/polkadot/wiki/Governance,https://medium.com/polkadot-network/how-polkadot-tackles-the-biggest-problems-facing-blockchain-innovators-1affc1309b0f"
Exnonum,,"xonum enables you to build decentralized, secure and reliable blockchain applications. It is designed to allow people, companies and governments to design custom private or permissioned blockchains that benefit from the unmatched security of public blockchains.

Exonum brings all the advantages of a true blockchain — auditability, transparency, and unparalleled security — and combines them with privacy, efficiency and controllability.

",exonum.png,,,,,,"Rust,Java",,,,,,,,https://exonum.com/,https://exonum.com/doc,,,,Public,
Ethereum classic,,"Ethereum Classic is an open-source, public, blockchain-based distributed computing platform featuring smart contract functionality. It provides a decentralized Turing-complete virtual machine, the Ethereum Virtual Machine, which can execute scripts using an international network of public nodes.",ethereum-classic.png,,,,,"Go,C++,Rust",Solidity,PoW,,FALSE,,,,,,,,,,Public,
Monax,,"Monax Industries Limited, known as Monax, is a contract lifecycle management platform. The company was founded in 2014. The company has offices in Edinburgh, London and New York.",monax.png,,,,,,Solidity,,,,,,,,https://monax.io/,,,,,Public,
